identity,question,a འདི་ཡང་,b,c,d,correct_ answer
hsc-botany-12-158,རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་འདི་ རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་གི་ཡན་ལག་བཟུམ་ཅིག་སྦེ་ རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་འདི་ རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་བཟུམ་ཅིག་སྦེ་ རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་འདི་བཟུམ་ཅིག་སྦེ་ རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་འདི་བཟུམ་ཅིག་སྦེ་ རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་འདི་བཟུམ་ཅིག་སྦེ་ རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་འདི་བཟུམ་ཅིག་སྦེ་ རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་འདི་བཟུམ་ཅིག་སྦེ་ རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་འདི་བཟུམ་ཅིག་སྦེ་ རང་སོའི་གཟུགས་ཁར་ཡོད་མི་ གཟུགས་ཀྱི་ཡན་ལག་འདི་བཟུམ་ཅིག་སྦེ་རང་ཨིན།,Basillum,ཀོལོསི་ཊི་རི་ཌིཡམ་,ཨི་སོ་མར་ཇེ,ལེན་བཏུབ། བླམ་ཚུ་,d
hsc-botany-12-159,ད་ཨ་ལཱན་ཅི་ནང་ ཀེ་རོ་མཱོ་སོམ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,མུལ་ལཱོ་དག་མ,དབྱེ་བ་ཕྱེ་ནི་,ཡིག་ཐོག་ལུ་བྲིས་ནུག,ཕོསི་ཕོགསི་ཇི་ལ་སར་མའུཊ་ཟ་,b
hsc-botany-12-160,ས་སྣུམ་བླུག་ནིའི་འཕྲུལ་ཆས་ Cytokrom pump འདི་ ག་གིས་བཟོ་ཡོདཔ་ཨིན་ན?,ཧེ་མོ་ལི་སི་བཱིན་,ཧེ་མོ་ཇེན་,ལའི་སོམས,སྐད་སྒྱུར་འབད་,b
hsc-botany-12-161,Fructose-6-phosphate \xrightarrow{P}Fructose-1 འདི་ ཀོ་རོཊ་སི་བཱོན་དང་ ཀོ་རོཊ་སི་བཱོན་གཉིས་ཆ་ར་ལུ་ཡོད་པའི་ ཀོ་རོཊ་སི་བཱོན་འདི་ཨིན།,ཀེན་ཕ་,པེ་ནཱལ་,ཐའི་མཱིན་,ཌའི་ལོག་གི་ཨོཀསི་སོམ་,d
hsc-botany-12-162,འོག་ལུ་ཡོད་མི་ ཀོ་ཌོན་འདི་ག་འདི་ འགོ་འབྱེད་འབདཝ་ཨིན་ན?,ཨའུཇི་,UUU,མེ་ཊ་ཕེསི་,ཡུ་རཱས་སིལ་,a
hsc-botany-12-163,དེ་ལས་དཔེ་ཆ་དེ་ཚུ་ག་ར་ ཨེབ་གཏང་བརྐྱབ་འོང་།,i དང་ ii,ii དང་ iii,ལྕེ་འདི་ནང་ལུ་ ཁྱད་ཆོས་མ་འདྲཝ་ལེ་ཤ་ཅིག་རང་ འགྱུར་ཏེ་ཡོདཔ་ཨིན།,མེ་ཊ་ཕ་ཡེསི་གི་རྒྱབ་སྐྱོར་,c
hsc-botany-12-164,i. K^+ གི་སྲུང་སྐྱོབ་སྡེ་ཕྲན་ནང་འཛུལ་ནུག,འདི་ཡང་ ཀ་ལོརོ་པཱསི་ཊར་ལུ་བརྟེན་ཨིན་མས།,Chloroplasts གི་ནང་འཁོད་ལུ་ཡོད་པའི་ Thylacides,འབུབ་རྫས་,དེ་སྦེ་འབདཝ་ད་ལུ་ ཐབས་ཤེས་ག་ཅི་རང་ཨིན་རུང་ བཏོན་བཏངམ་མས་ཟེར་ ཞུ་ནི་ཨིན།,a
hsc-botany-12-165,༢། ཁམས་ཕྲན་ནང་ལུ་ CO_2 འབོར་ཆེ་ཏོག་ཏོ་སྦེ་ཡར་འཕར་འགྱོ་འོང་།,ཨེ་ཁུ་,དཀར་འབྲུ་,མཐའ་འཁོར་གྱི་ཚོར་སྣང་ལུ་ལན་མི་རྐྱབ།,ནད་འབུབ་,a
hsc-botany-12-166,གསུམ་པ་ H^+འདི་ སྲུང་སྐྱོབ་གློག་ཤུགས་ནང་ལས་ བཏོན་བཏངམ་ཨིན།,པི་རོཊི་ནེཊི་,ཚ་དྲོད་མར་ཁུ་,Streptococcus,འདི་ལུ་བལྟ་བ་ཅིན་ སྦ་སྒོར་འདི་ ལེགས་བཅོས་འབད་བཏུབ་ཨིན།,d
hsc-botany-12-167,འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,i དང་ ii,ii དང་ iii,གཱནཌི་ཡ་,Rhizobium,c
hsc-botany-12-168,ཀ་ལཝིན་གྱི་འཁོར་ལོ་བསྒྱུར་འདི་ ག་ཏེ་ལུ་བྱུང་ཡོདཔ་ཨིན་ན?,Azatabactor,Pseudomonas,ལི་སོ་ལི་སི་ཊིན་,འགྱུར་བཅོས་,d
hsc-botany-12-169,འོག་གི་ཤིང་རིགས་ག་འདི་ ཚ་དྲོད་མཐོ་དྲགས་ནང་ འོད་སྦྱོར་འབད་ཚུགས་ནི་ཨིན་ན?,སྦོམ་དང་ རླུང་མ་འཕུ་མི་ཚུ་ཨིན།,ཆུང་ཀུ་དང་ རླུང་མ་ཁོག་ཁོག་ཅན་ཨིན།,དར་ཚིལ་དམརཔོ་,གློག་ཤུགས་སྣུམ་འཁོར་,c
hsc-botany-12-170,ཊི་ཤུའི་གསོ་སྐྱོང་གི་དོན་ལུ་ གཞི་རྟེན་མ་དན་འདི་ནང་ལུ་ ག་འདི་དགོཔ་ཨིན་ན?,ཨ་པོ་པོ་ཊཱསི་,ནད་གཞི་འདི་ ནད་འབུབ་ལུ་བརྟེན་པའི་ནད་འབུབ་ཨིན།,UAG,ཚལ་ལུ་,d
hsc-botany-12-172,stimulus གི་གནས་རིམ་ R འདི་ག་དེ་སྦེ་འགྱོ་དོ་ཡོདཔ་ཨིན་ན?,ཇི་༡ གི་གནས་སྟངས་,ཇི་-༢གི་གནས་སྟངས་,i དང་ iii,UGA,c
hsc-botany-12-173,ཨ་པ་གདམ་ཁ་རྐྱབ་མི་ - ཨེན་ཊི་པི་ཨེཕ་སི་བཱའིན་ - ཨེཕ་བཱོསི་{R} - ཨེཕ་_༡ གི་བུ་རྒྱུད་,ཕྲང་ལམ་,མིང་བཏགས་ནི་,སྲོག་ཆགས་ཀྱི་པགས་པའི་ནང་ལུ་,"i, ii,དང་ iii",c
hsc-botany-12-174,"stimulus གི་ལཱ་གི་ཤུལ་ལུ་ ག་ཅི་ཐོབ་ནི་ཨིན་ན?""",ཨའི་གི་ཁྱད་ཆོས་ཡོད་པའི་རིགས་ཚུ་ཨིན།,ཐོན་སྐྱེད་ལེགས་ཤོམ་ཐོབ་མི་རིགས་ཚུ་ཨིན།,ལཱ་གཡོག་,mitochondrial matrixནང་ལུ་,b
hsc-botany-12-175,འ་ནི་ནང་ལས་ DNA ཝི་རཱསི་ག་འདི་ག་འདི་ཨིན་ན?,T_2,TMV,མཱལ་ཏོ་ཟ།,ཚལ་ལུ་,a
hsc-botany-12-176,རང་བཞིན་གྱི་སྲོག་ཆགས་ཀྱི་ ཕྲ་རིང་འདི་ རང་བཞིན་གྱི་སྲོག་ཆགས་ཀྱི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་གི་,སློབ་དཔོན་,གློག་ཐག་ར་བ་,i དང་ iii,སུག་སྨན་,b
hsc-botany-12-177,རིས་བོ་སོམ་འདི་ནང་ལུ་ ဓာတုགྱི་རྒྱུ་རྫས་འདི་ག་ཅི་ཡོདཔ་ཨིན་ན?,DNA,ལི་པིཌ་,ཀལ་སི་ཊི་རི་ཌིཡམ་,"i, ii,དང་ iii",c
hsc-botany-12-178,འ་ནི་ཨེན་ཇེམ་འདི་ DNA ཕྲ་རྡུལ་ལུ་ ཕན་ཐོགས་ཡོདཔ་ཨིན་ན།,ཧེ་ལི་ཀེཇ་,མདའ་རྫས་,སྦོམ་སྦེ་དང་ རུས་ཚིགས་ལེ་ཤ་ཡོདཔ་ཨིན།,E. coli འདི་,a
hsc-botany-12-179,མཇུག་གི་ཨང་རྟགས་འདི་ ག་ལུ་མི་སྟོན་ནི་ཨིན་ན?,UAA,UAG,ནིའུ་ཊོརོཔ་སི་,སྦོམ་དང་ སྦ་སྒོར་གཅིག,d
hsc-botany-12-180,རང་བཞིན་གྱི་སྲོག་ཆགས་ཚུའི་ནང་ལུ་ ཌའི་ལོག་གི་ཨའི་མིན་ཨེ་སིཌ་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,30,25,མའོ་སིན་དང་ ན་ཡ་སིན་,ནེ་ཀོརསི་སི་,c
hsc-botany-12-181,ན་ཧིང་གི་ལོ་ནང་ ནད་འབུབ་ཐོབ་མི་ནདཔ་ཚུ་ལུ་ ནད་གཞི་དེ་ ག་དེ་ཅིག་གིས་ གནོད་སྐྱོན་རྐྱབ་ཡོདཔ་ཨིན་ན?,སཔོ་རོ་ཟེཊ་,ཝ་ཨོ་སིཊ་,ཨེསི་གི་གནས་སྟངས་,Actinདང་ Cytosine,c
hsc-botany-12-182,Cycas གི་གཟུགས་ངོ་མ་འདི་ ག་ཅི་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,གཱ་མེ་ཊོ་ཕིཊི་,སྣུམ་འཁོར་ནང་དྭངས་འཕྲོས་འཕྲོས་ལུས་མི་ཚུ་,སྨན་བཅོས་འབད་ཐངས་,ཨེམ་གི་གནས་རིམ་,b
hsc-botany-12-183,སྦ་སྒོར་དང་ སྦ་སྒོར་གྱི་རིགས་འདི་ ཤིང་སྣ་ག་ཏེ་ལུ་ཡོདཔ་ཨིན་ན?,དཀར་འབྲུ་,དཀར་འབྲུ་,ཧཱ་པཱལོཌ་གི་རིགས་ཚུ་,བེག་རྐྱབ་ནི་,c
hsc-botany-12-184,ཀ་རི་ཨོཔ་སི་ཤིང་འདི་ རིགས་ཚན་ག་ཏེ་གི་ཤིང་འབྲས་ཨིན་ན?,Malvaceae,ལི་ལི་ཡ་ཀཱཔ་,Falvi virus གི་ནད་འབུབ་,Polyploidy གི་རིགས་ཚུ་,c
hsc-botany-12-185,ཌའི་ལོག་འདི་ནང་ལུ་ ཌའི་ལོག་གི་ཨེན་ཊར་ཕཱོན་འདི་ཐོན་ནུག,མཚོན་ཆ་ཚུའི་ནང་ན་,ནད་འབུབ་ཐོབ་མི་ཀེན་སར་འདི་,མེ་ཊ་ཕེསི་,ཀོ་བིཌ་-༡༩,d
hsc-botany-12-186,ཤ་རུས་ཀྱི་གསོ་སྐྱོང་གི་ལཱ་གི་ཤུལ་ལུ་,i དང་ ii,ii དང་ iii,RNA འདི་,ཨ་ན་ཕ་ཇ་,d
hsc-botany-12-187,i. ནད་གཞི་མེད་པའི་ཤིང་གི་འདབ་མ་,ཀེར་ཐིག་གི་ DNA,ཆུང་ཤོས་ཀྱི་ རིགས་མཚན་འདི་འབག་འགྱོ་དོ་ཡོདཔ་ཨིན།,སྣུམ་འཁོར་གྱི་ཟད་འགྲོ་,ཚ་རིམས་ཚབས་ཆེན་,c
hsc-botany-12-188,༢། ཨ་ལུ་ཚུ་ལུ་ ཕན་ཐོགས་པའི་ཤིང་གི་ལྕངམ་ཚུ་,Bco Rl,ཧིན་ཌ་གསུམ་པ་,UGA,ཨི་སོ་མར་ཇེ,d
hsc-botany-12-189,གསུམ་པ་ དུས་ཚོད་དང་ས་སྒོ་ཉུང་སུ་ཅིག་ནང་ ཚོད་བསྲེ་མང་སུ་སྦེ་ཐོན་ནུག,2,3,20,ཨའུཇི་,a
hsc-botany-12-190,"འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?""",i དང་ ii,i དང་ iii,ཝོ་ཀེན་ནེཊ་,15,c
hsc-botany-12-191,ལྡོག་ཕྱོགས་འགོ་ཁྲིདཔ་ཅིག་གིས་ སླབ་མིའི་ནང་ ནད་གཞི་དེ་ ནད་འབུབ་མེན་པའི་ ནད་འབུབ་ཅིག་ཨིནམ་སྦེ་ གསལ་སྟོན་འབདཝ་ཨིན་པས།,འགོ་ཐོག་ལུ་,ཀཱན་ཌེ་,ཐེ་ལོ་ཕིཊི་,ཟི་གཱོཊ་,a
hsc-botany-12-192,བཀག་འཛིན་གྱི་ཨེན་ไซམཱོན་འདི་མེན་པ་ཅིན་ ག་འདི་ཡོདཔ་ཨིན་ན?,8,12,ལན་སླབ་ནི་,བིརི་ཨོཕ་ཊིཀ་,b
hsc-botany-12-193,glycolysis ནང་ལུ་ གློག་རྡུལ་གཱལའུ་ཀོཟ་གཅིག་ལས་ གློག་རྡུལ་པི་རུ་བིག་ཨེ་སིཌ་ག་དེ་ཅིག་ཐོན་འོང་ག་,ངོ་མ་,ཤིང་གི་རྩ་བ་,Poaceae,གླངམོ་ཆེ་,b
hsc-botany-12-195,i. དེ་ཚུ་ གནས་སྐབས་ཀྱི་རྩ་བ་ལས་ཨིན།,8,12,ཀེན་སར་ཀེལ་འདི་,ཏིལ་ལི་ཨེས་ཨེག་,a
hsc-botany-12-196,༢། Nostocགིས་ གནོད་སྐྱོན་རྐྱབ་ཡོདཔ་ཨིན།,3,4,i དང་ iii,ནད་འབུབ་ཐོབ་མི་ ཁམས་ཕྲན་ནང་ལས་འཐོན་འོང་།,a
hsc-botany-12-197,གསུམ་པ་ སྦ་སྒོར་གཉིས་འབད་མི་ཁང་མིག་འདི་ ཁྱད་དུ་འཕགས་ཡོདཔ་ཨིན།,2,3,ཀླད་ཀོར་གཅིག་གིས་ DNA འབག་འགྱོ་འོང་།,"i, ii,དང་ iii",b
hsc-botany-12-198,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,i དང་ ii,ii དང་ iii,Hpa-II,DNA ཌི་ཨེན་ཨའི་གཉིས་ལྡན་ཅིག་ འབག་འགྱོ་དོ་ཡོདཔ་ཨིན།,d
hsc-botany-12-199,སྔོ་ཚལ་གྱི་ཉམས་མྱོང་དང་ རིག་རྩལ་འདི་ ག་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,གཟུགས་ཁར་ཡོད་པའི་ཀོ་བའི་ཚིགས་ཕྲན་ཚུ་,ཡི་གུ་འབྲི་ནི་,4,All-Po,b
hsc-botany-12-200,ལེཔཊོ་སི་ཊི་རིག་གི་ཁྲག་ཁྲམ་དེ་ དཔེ་གཅིག་ཨིན།,Dracaena sp,Mangifera sp,ii དང་ iii,5,a
hsc-botany-12-201,འོད་སྦྱོར་འདི་ ག་བཟུམ་ཅིག་ནང་ ཕན་ཐོགས་ཅན་ཨིན་ན?,དམར་པོ་,དཀར་ཆག་,ཤོག་ལེབ་ནང་ལུ་,"i, ii,དང་ iii",a
hsc-botany-12-202,དེང་སང་གི་བསམ་འཆར་དང་འཁྲིལཝ་ད་ ཐབ་ཚངཔ་ཚུ་ སྒོ་ཕྱེ་ནི་དང་ སྒོ་བསྡམས་ནི་དེ་ གནད་དོན་ག་བཟུམ་ཅིག་ལུ་བརྟེན་ཏེ་ཨིན་ན?,i དང་ ii,ii དང་ iii,24,མེ་ཏོག་,c
hsc-botany-12-203,i. ཀ^+ ཨིན་པས།,ཀེ་རེབསི་གི་འཁོར་ལོ་,ཀ་ལཝིན་གྱི་འཁོར་ལོ་,ཤོག་ལེབ་,30,c
hsc-botany-12-204,༢། ཨོ་ལ་ཚྭ་,ཧེ་ཀོ་སའི་ནེསི་,གསོལ་རས་ཚུ་,14,མེ་ཏོག་,b
hsc-botany-12-205,གསུམ་པ་ མ་ལི་ཀཨེ་སིཌ་,Gnetum,སའི་ཀཱསི་,5,16,b
hsc-botany-12-206,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ཟུར་ཐིག་,དམིགས་བསལ་,4,6,b
hsc-botany-12-207,"Fructose 1, 6 bisphosphate \xleftrightarrow{P} 3 phosphoglyceraldehyde + dihydroxy acetone phosphate འདི་ཡང་ ཌི་ཧའི་ཌོ་ཀིསི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་""",১০-২০%,৩০-৪০%,i དང་ iii,5,b
hsc-botany-12-208,འ་ནི་ནང་ལས་ stimulant གི་དོན་ལས་ ཇི་བཟུམ་ཅིག་འབད་དགོཔ་ཨིན་ན་ཟེར་བ་ཅིན་,ཀ་རི་ཨོ་ཀི་ནེས་སི་,མེ་ཊ་ཀི་ནེས་སི་,ལེན་ཏི་ཟཱེལ་,"i, ii,དང་ iii",c
hsc-botany-12-209,"Fructose 1, 6 bisphosphate \xleftrightarrow{P} 3 phosphoglyceraldehyde + dihydroxy acetone phosphate འདི་ཡང་ ཌི་ཧའི་ཌོ་ཀིསི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོནཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་གི་ཨེས་ཊོཔ་ཊི་""",ལེཔ་ཏོ་ཊིན་,པ་ཀི་ཊིན་,Oryza sp,ཧའི་ཌ་ཐོཌ་,c
hsc-botany-12-210,ཌི་སི་གི་ཚོང་འབྲེལ་ནང་ བཅའ་མར་གཏོགས་མི་ P གི་མིང་ག་ཅི་ཡོདཔ་སྨོ་ཟེར་,i དང་ ii,i དང་ iii,དམར་ཁུ་,Triticum sp,c
hsc-botany-12-213,གཤག་ཕྲ་ཚིགས་ཀྱི་དུས་ཡུན་ G-1 ནང་ལུ་ དུས་ཡུན་ 10 གི་རིང་ལུ་,སློབ་དཔོན་,མེ་ཊ་ཕེསི་,i དང་ iii,དཀར་མདོག་དམརཔོ་,b
hsc-botany-12-214,ས་ཁུག་ནང་གི་སྲོག་ཆགས་ཀྱི་ཧྲིལ་བུམ་ (cytoplasm) འདི་ག་ཨིནམ་སྦེ་སླབ་ནི་ཨིན་ན?,i དང་ ii,མེ་ཊ་ཕ་ཡེསི་གི་རྒྱབ་སྐྱོར་,གཱ་ལི་ཀོ་ལའི་སི་,"i, ii,དང་ iii",b
hsc-botany-12-215,ཌའི་ལོག་འདི་ ག་ཅི་ལུ་བརྟེན་བྱུང་ཡོདཔ་ཨིན་ན?,མོ་ཤི་ལུ་,i དང་ iii,ཌའི་ཧའི་ཌོ་ཇེ་ནེསི་,Hatch-Slack གི་འཁོར་ལོ་བརྒྱུད།,c
hsc-botany-12-217,i. འདི་གིས་ ཛའི་གཱོཊ་འདི་ སྐྱེ་ལྡན་སྐྱེ་བུ་ལུ་འགྱུར་ནུག,i དང་ ii,དཀར་འབྲུ་,པི་ནཱསི་,ནད་གཞི་འདི་ བཏུབ་ནི་,b
hsc-botany-12-218,༢། འདི་གིས་ སྐྱེ་བའི་སྲོག་ཆགས་ཚུ་ བཟོ་དོ་ཡོདཔ་ཨིན།,Oryza sativa ཟེར་མི་འདི་ཨིན།,i དང་ iii,གླུ་གཞས་,ཨེ་ཕི་ཌར་,b
hsc-botany-12-219,གསུམ་པ་ འདི་ཡར་རྒྱས་གཏང་ནི་ལུ་ཕན་ཐོགས་ཡོདཔ་ཨིན།,པེ་ལི་ཊིན་,Triticum aestivum,৩০-৫০%,མཐའ་ཟུར་གྱི་,d
hsc-botany-12-220,འ་ནི་ཚུ་ལས་ག་འདི་བདེན་པ་ཨིན་ན?,ཁམས་ལོག་སི་སི་གི་རུས་ཚིགས་,སྐུད་པ་,སི་ཊོ་ཀི་ནེས་སི་,৯০-৯৫%,a
hsc-botany-12-221,དབྱར་རྩྭ་དགུན་འབུབ་མ་ཐོན་པའི་ཧེ་མ་ ལོ་ཐོག་ག་ཏེ་ལུ་ འཛུགས་སྐྱོང་འབདཝ་ཨིན་ན?,ཨཱར་ཡཱན་,ཐ་སྙད་དུམ་གྲ་ཅིག་,ཟི་གཱོ་ཏིན་,ནང་འཁོད་ལས་བྱུང་བའི་ལཱ་,c
hsc-botany-12-222,ཇི་བཱལ་བེ་ལར་ཟེར་མི་ ཇི་བཱལ་བེ་ལར་འདི་ ཤིང་གི་རིགས་གཅིག་ཨིན་མས།,ནིཊི་རོཇེན་,ཕྱོགས་གཉིས་པ་,ii དང་ iii,ཌིཔ་ལོཊིན་,a
hsc-botany-12-224,i. ཨར་ཀི་གོ་ནི་ཨུམ་འདི་མཐོང་ནུག,དབུགས་འགུགས་ནི་,སི་ཊི་རི་ཀཨེ་སིཌ་,ygotin \rightarrow ལེཔ་ཏོཊིན་ \rightarrow,"i, ii,དང་ iii",b
hsc-botany-12-225,༢། ལོ་ཐོག་གི་དབྱིབས་འདི་ སྣུམ་འཁོར་གསུམ་སྦེ་བཟོ་ནུག,i དང་ ii,དབུགས་འགམ་ནི་,པེ་ཀིཊི་ནི (rightarrow) ནི་ ཌི་པེ་ཀིཊི་ནི (rightarrow) ཨིན་པིན་ཨིན།,ལེཔཊོཊིན་ \rightarrow ཟི་གོཊིན་ \rightarrow,a
hsc-botany-12-226,གསུམ་པ་ སོན་འདི་ཡར་སྐྱེས་ནུག,མར་ཁ་ཐུག་བལྟ་ནི་,i དང་ iii,ཨ་ནེཕ་ཇ་,པེ་ཀིཊི་ནི (rightarrow) ནི་ ཌི་པེ་ཀིཊི་ནི (rightarrow) ཨིན་པིན་ཨིན།,a
hsc-botany-12-227,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ཨཔ་གཱམ་,ཡར་ཁ་ཐུག་ལུ་,ཨ་ནེཕ་ཇ་,གློག་ཐག་ར་བ་,b
hsc-botany-12-228,དཀར་གྱི་མིང་ཚན་རིག་གི་མིང་འདི་ག་ཅི་ཡོདཔ་?,ལོ་ཐོག་ཚུ་,སཱིན་ག་མི་,ii དང་ iii,གློག་ཐག་ར་བ་,d
hsc-botany-12-229,ཐ་ན་ ཐ་ན་ ཐ་ན་ ཐ་ན་ ཐ་ན་ ཐ་ན་ ཐ་ན་ ཐ་ན་,ཨིན་ཊར་ཀི་ནེས་སི་,ཤིང་འབྲས་,གཟུགས་ཀྱི་བོན་འདི་,"i, ii,དང་ iii",c
hsc-botany-12-230,ཤིང་གི་རྩ་བ་དང་ ཤིང་གི་ཐིང་ཏོ་གི་ཐིང་ཏོ་འདི་ག་ཏེ་ཡོདཔ་ཨིན་ན?,པྲོཊོ་ཌར་མ,མེ་ཊ་ཀི་ནེས་སི་,ཀོར་པཱསི་,ནད་འབུབ་སྨན་རིགས་ནང་,a
hsc-botany-12-231,དབྱེ་བ་ཕྱེ་མི་ནགས་ཚལ་འདི་ནང་ལུ་ ཁྲག་ཤུགས་ཀྱི་འཁོར་ལོ་འདི་ ག་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,དཀར་མདོག་དམརཔོ་,པྲོ་ཀཱམ་བི་ཡམ་,ii དང་ iii,རྦ་རླབས་,d
hsc-botany-12-232,སོན་འདི་ ས་གཞི་ལུ་འགྱུར་ནི་གི་དོན་ལས་ ག་ཅི་འབད་དགོཔ་ཨིན་ན?,སི་པོ་རོཕི་ལཱསི་,དམར་པོ་,Zea mays ཟེར་མི་འདི་,"i, ii,དང་ iii",b
hsc-botany-12-233,ཀེ་རེབསི་གི་འཁོར་ལོའི་ནང་ ཚོང་མགྲོན་པ་ག་ཨིན་ན་?,བཏོན་གཏང་,ཨ་ལོ་ཆགས་སའི་ས་སྒོ་,ཚིག་ཡིག་,Bambusa tulda,c
